d,open_front,raw_open,date,truth_open,db_err
2024-09-20,8.606,9.81,2024-09-20,8.83,-0.2240000000000002
2024-09-23,8.686,9.89,2024-09-23,8.9,-0.2140000000000004
2024-09-24,8.905999999999999,10.11,2024-09-24,9.1,-0.19400000000000084
2024-09-25,9.315999999999999,10.52,2024-09-25,9.47,-0.1540000000000017
2024-09-26,9.296,10.5,2024-09-26,9.45,-0.15399999999999991
2024-09-27,10.145999999999999,11.35,2024-09-27,10.22,-0.07400000000000162
2024-09-30,10.415999999999999,11.62,2024-09-30,10.46,-0.04400000000000226
2024-10-08,12.225999999999999,13.43,2024-10-08,12.09,0.13599999999999923
2024-10-09,11.426,12.63,2024-10-09,11.37,0.05600000000000094
2024-10-10,10.661999999999999,11.62,2024-10-10,10.68,-0.018000000000000682
2024-10-11,11.042,12.0,2024-10-11,11.03,0.012000000000000455
2024-10-14,11.022,11.98,2024-10-14,11.01,0.012000000000000455
2024-10-15,10.982,11.94,2024-10-15,10.98,0.0019999999999988916
2024-10-16,10.842,11.8,2024-10-16,10.85,-0.007999999999999119
2024-10-17,11.112,12.07,2024-10-17,11.1,0.012000000000000455
2024-10-18,10.952,11.91,2024-10-18,10.95,0.002000000000000668
2024-10-21,10.982,11.94,2024-10-21,10.98,0.0019999999999988916
2024-10-22,10.802,11.76,2024-10-22,10.81,-0.008000000000000895
2024-10-23,10.862,11.82,2024-10-23,10.87,-0.007999999999999119
2024-10-24,10.852,11.81,2024-10-24,10.86,-0.007999999999999119
2024-10-25,10.812,11.77,2024-10-25,10.82,-0.008000000000000895
2024-10-28,10.722,11.68,2024-10-28,10.74,-0.018000000000000682
2024-10-29,10.661999999999999,11.62,2024-10-29,10.68,-0.018000000000000682
2024-10-30,10.542,11.5,2024-10-30,10.57,-0.02800000000000047
2024-10-31,10.372,11.33,2024-10-31,10.42,-0.04800000000000004
2024-11-01,10.422,11.38,2024-11-01,10.46,-0.038000000000000256
2024-11-04,10.472,11.43,2024-11-04,10.51,-0.038000000000000256
2024-11-05,10.462,11.42,2024-11-05,10.5,-0.038000000000000256
2024-11-06,10.661999999999999,11.62,2024-11-06,10.68,-0.018000000000000682
2024-11-07,10.542,11.5,2024-11-07,10.57,-0.02800000000000047
2024-11-08,10.982,11.94,2024-11-08,10.98,0.0019999999999988916
2024-11-11,10.672,11.63,2024-11-11,10.69,-0.017999999999998906
2024-11-12,10.622,11.58,2024-11-12,10.65,-0.02800000000000047
2024-11-13,10.542,11.5,2024-11-13,10.57,-0.02800000000000047
2024-11-14,10.632,11.59,2024-11-14,10.66,-0.02800000000000047
2024-11-15,10.542,11.5,2024-11-15,10.57,-0.02800000000000047
2024-11-18,10.672,11.63,2024-11-18,10.69,-0.017999999999998906
2024-11-19,10.792,11.75,2024-11-19,10.8,-0.008000000000000895
2024-11-20,10.712,11.67,2024-11-20,10.73,-0.018000000000000682
2024-11-21,10.661999999999999,11.62,2024-11-21,10.68,-0.018000000000000682
2024-11-22,10.632,11.59,2024-11-22,10.66,-0.02800000000000047
2024-11-25,10.322,11.28,2024-11-25,10.37,-0.04800000000000004
2024-11-26,10.222,11.18,2024-11-26,10.28,-0.05799999999999983
2024-11-27,10.282,11.24,2024-11-27,10.33,-0.04800000000000004
2024-11-28,10.432,11.39,2024-11-28,10.47,-0.038000000000000256
2024-11-29,10.411999999999999,11.37,2024-11-29,10.45,-0.038000000000000256
2024-12-02,10.432,11.39,2024-12-02,10.47,-0.038000000000000256
2024-12-03,10.411999999999999,11.37,2024-12-03,10.45,-0.038000000000000256
2024-12-04,10.482,11.44,2024-12-04,10.52,-0.038000000000000256
2024-12-05,10.482,11.44,2024-12-05,10.52,-0.038000000000000256
2024-12-06,10.482,11.44,2024-12-06,10.52,-0.038000000000000256
2024-12-09,10.672,11.63,2024-12-09,10.69,-0.017999999999998906
2024-12-10,10.942,11.9,2024-12-10,10.94,0.002000000000000668
2024-12-11,10.831999999999999,11.79,2024-12-11,10.84,-0.008000000000000895
2024-12-12,10.772,11.73,2024-12-12,10.78,-0.007999999999999119
2024-12-13,10.831999999999999,11.79,2024-12-13,10.84,-0.008000000000000895
2024-12-16,10.602,11.56,2024-12-16,10.63,-0.02800000000000047
2024-12-17,10.612,11.57,2024-12-17,10.64,-0.02800000000000047
2024-12-18,10.622,11.58,2024-12-18,10.65,-0.02800000000000047
2024-12-19,10.632,11.59,2024-12-19,10.66,-0.02800000000000047
2024-12-20,10.632,11.59,2024-12-20,10.66,-0.02800000000000047
2024-12-23,10.682,11.64,2024-12-23,10.7,-0.017999999999998906
2024-12-24,10.762,11.72,2024-12-24,10.78,-0.017999999999998906
2024-12-25,10.902,11.86,2024-12-25,10.9,0.0019999999999988916
2024-12-26,10.962,11.92,2024-12-26,10.96,0.0019999999999988916
2024-12-27,10.911999999999999,11.87,2024-12-27,10.91,0.0019999999999988916
2024-12-30,10.822,11.78,2024-12-30,10.83,-0.008000000000000895
2024-12-31,10.972,11.93,2024-12-31,10.97,0.0019999999999988916
2025-01-02,10.772,11.73,2025-01-02,10.78,-0.007999999999999119
2025-01-03,10.482,11.44,2025-01-03,10.52,-0.038000000000000256
2025-01-06,10.422,11.38,2025-01-06,10.46,-0.038000000000000256
2025-01-07,10.462,11.42,2025-01-07,10.5,-0.038000000000000256
2025-01-08,10.542,11.5,2025-01-08,10.57,-0.02800000000000047
2025-01-09,10.542,11.5,2025-01-09,10.57,-0.02800000000000047
2025-01-10,10.442,11.4,2025-01-10,10.48,-0.038000000000000256
2025-01-13,10.292,11.25,2025-01-13,10.34,-0.04800000000000004
2025-01-14,10.241999999999999,11.2,2025-01-14,10.3,-0.058000000000001606
2025-01-15,10.422,11.38,2025-01-15,10.46,-0.038000000000000256
2025-01-16,10.592,11.55,2025-01-16,10.62,-0.027999999999998693
2025-01-17,10.572,11.53,2025-01-17,10.6,-0.02800000000000047
2025-01-20,10.542,11.5,2025-01-20,10.57,-0.02800000000000047
2025-01-21,10.491999999999999,11.45,2025-01-21,10.53,-0.038000000000000256
2025-01-22,10.362,11.32,2025-01-22,10.41,-0.04800000000000004
2025-01-23,10.212,11.17,2025-01-23,10.27,-0.05799999999999983
2025-01-24,10.362,11.32,2025-01-24,10.41,-0.04800000000000004
2025-01-27,10.422,11.38,2025-01-27,10.46,-0.038000000000000256
2025-02-05,10.542,11.5,2025-02-05,10.57,-0.02800000000000047
2025-02-06,10.392,11.35,2025-02-06,10.44,-0.04800000000000004
2025-02-07,10.402,11.36,2025-02-07,10.44,-0.038000000000000256
2025-02-10,10.422,11.38,2025-02-10,10.46,-0.038000000000000256
2025-02-11,10.442,11.4,2025-02-11,10.48,-0.038000000000000256
2025-02-12,10.452,11.41,2025-02-12,10.49,-0.038000000000000256
2025-02-13,10.462,11.42,2025-02-13,10.5,-0.038000000000000256
2025-02-14,10.532,11.49,2025-02-14,10.56,-0.02800000000000047
2025-02-17,10.642,11.6,2025-02-17,10.67,-0.02800000000000047
2025-02-18,10.802,11.76,2025-02-18,10.81,-0.008000000000000895
2025-02-19,10.842,11.8,2025-02-19,10.85,-0.007999999999999119
2025-02-20,10.752,11.71,2025-02-20,10.77,-0.017999999999998906
2025-02-21,10.732,11.69,2025-02-21,10.75,-0.018000000000000682
2025-02-24,10.672,11.63,2025-02-24,10.69,-0.017999999999998906
2025-02-25,10.602,11.56,2025-02-25,10.63,-0.02800000000000047
2025-02-26,10.512,11.47,2025-02-26,10.55,-0.038000000000000256
2025-02-27,10.572,11.53,2025-02-27,10.6,-0.02800000000000047
2025-02-28,10.622,11.58,2025-02-28,10.65,-0.02800000000000047
2025-03-03,10.562,11.52,2025-03-03,10.59,-0.02800000000000047
2025-03-04,10.512,11.47,2025-03-04,10.55,-0.038000000000000256
2025-03-05,10.562,11.52,2025-03-05,10.59,-0.02800000000000047
2025-03-06,10.732,11.69,2025-03-06,10.75,-0.018000000000000682
2025-03-07,10.672,11.63,2025-03-07,10.69,-0.017999999999998906
2025-03-10,10.702,11.66,2025-03-10,10.72,-0.018000000000000682
2025-03-11,10.581999999999999,11.54,2025-03-11,10.61,-0.02800000000000047
2025-03-12,10.642,11.6,2025-03-12,10.67,-0.02800000000000047
2025-03-13,10.852,11.81,2025-03-13,10.86,-0.007999999999999119
2025-03-14,10.862,11.82,2025-03-14,10.87,-0.007999999999999119
2025-03-17,10.672,11.63,2025-03-17,10.69,-0.017999999999998906
2025-03-18,10.562,11.52,2025-03-18,10.59,-0.02800000000000047
2025-03-19,10.522,11.48,2025-03-19,10.55,-0.02800000000000047
2025-03-20,10.552,11.51,2025-03-20,10.58,-0.02800000000000047
2025-03-21,10.532,11.49,2025-03-21,10.56,-0.02800000000000047
2025-03-24,10.452,11.41,2025-03-24,10.49,-0.038000000000000256
2025-03-25,10.422,11.38,2025-03-25,10.46,-0.038000000000000256
2025-03-26,10.462,11.42,2025-03-26,10.5,-0.038000000000000256
2025-03-27,10.411999999999999,11.37,2025-03-27,10.45,-0.038000000000000256
2025-03-28,10.432,11.39,2025-03-28,10.47,-0.038000000000000256
2025-03-31,10.402,11.36,2025-03-31,10.44,-0.038000000000000256
2025-04-01,10.312,11.27,2025-04-01,10.36,-0.04800000000000004
2025-04-02,10.292,11.25,2025-04-02,10.34,-0.04800000000000004
2025-04-03,10.352,11.31,2025-04-03,10.4,-0.04800000000000004
2025-04-07,10.042,11.0,2025-04-07,10.11,-0.06799999999999962
2025-04-08,9.722,10.68,2025-04-08,9.82,-0.09800000000000075
2025-04-09,9.772,10.73,2025-04-09,9.87,-0.09799999999999898
2025-04-10,9.902,10.86,2025-04-10,9.98,-0.07800000000000118
2025-04-11,9.911999999999999,10.87,2025-04-11,9.99,-0.07800000000000118
2025-04-14,9.991999999999999,10.95,2025-04-14,10.07,-0.07800000000000118
2025-04-15,9.962,10.92,2025-04-15,10.04,-0.0779999999999994
2025-04-16,9.972,10.93,2025-04-16,10.05,-0.07800000000000118
2025-04-17,9.991999999999999,10.95,2025-04-17,10.07,-0.07800000000000118
2025-04-18,10.081999999999999,11.04,2025-04-18,10.15,-0.06800000000000139
2025-04-21,10.042,11.0,2025-04-21,10.11,-0.06799999999999962
2025-04-22,10.062,11.02,2025-04-22,10.13,-0.06800000000000139
2025-04-23,10.081999999999999,11.04,2025-04-23,10.15,-0.06800000000000139
2025-04-24,10.042,11.0,2025-04-24,10.11,-0.06799999999999962
2025-04-25,10.081999999999999,11.04,2025-04-25,10.15,-0.06800000000000139
2025-04-28,10.042,11.0,2025-04-28,10.11,-0.06799999999999962
2025-04-29,10.042,11.0,2025-04-29,10.11,-0.06799999999999962
2025-04-30,10.002,10.96,2025-04-30,10.08,-0.0779999999999994
2025-05-06,9.962,10.92,2025-05-06,10.04,-0.0779999999999994
2025-05-07,10.052,11.01,2025-05-07,10.12,-0.06799999999999962
2025-05-08,10.042,11.0,2025-05-08,10.11,-0.06799999999999962
2025-05-09,10.112,11.07,2025-05-09,10.18,-0.06799999999999962
2025-05-12,10.202,11.16,2025-05-12,10.26,-0.05799999999999983
2025-05-13,10.232,11.19,2025-05-13,10.29,-0.05799999999999983
2025-05-14,10.331999999999999,11.29,2025-05-14,10.38,-0.04800000000000182
2025-05-15,10.472,11.43,2025-05-15,10.51,-0.038000000000000256
2025-05-16,10.411999999999999,11.37,2025-05-16,10.45,-0.038000000000000256
2025-05-19,10.442,11.4,2025-05-19,10.48,-0.038000000000000256
2025-05-20,10.442,11.4,2025-05-20,10.48,-0.038000000000000256
2025-05-21,10.442,11.4,2025-05-21,10.48,-0.038000000000000256
2025-05-22,10.491999999999999,11.45,2025-05-22,10.53,-0.038000000000000256
2025-05-23,10.592,11.55,2025-05-23,10.62,-0.027999999999998693
2025-05-26,10.482,11.44,2025-05-26,10.52,-0.038000000000000256
2025-05-27,10.491999999999999,11.45,2025-05-27,10.53,-0.038000000000000256
2025-05-28,10.542,11.5,2025-05-28,10.57,-0.02800000000000047
2025-05-29,10.562,11.52,2025-05-29,10.59,-0.02800000000000047
2025-05-30,10.512,11.47,2025-05-30,10.55,-0.038000000000000256
2025-06-03,10.581999999999999,11.54,2025-06-03,10.61,-0.02800000000000047
2025-06-04,10.862,11.82,2025-06-04,10.87,-0.007999999999999119
2025-06-05,10.922,11.88,2025-06-05,10.92,0.002000000000000668
2025-06-06,10.741999999999999,11.7,2025-06-06,10.76,-0.018000000000000682
2025-06-09,10.772,11.73,2025-06-09,10.78,-0.007999999999999119
2025-06-10,10.762,11.72,2025-06-10,10.78,-0.017999999999998906
2025-06-11,10.862,11.82,2025-06-11,10.87,-0.007999999999999119
2025-06-12,10.964,11.56,2025-06-12,10.96,0.0039999999999995595
2025-06-13,11.084,11.68,2025-06-13,11.08,0.0039999999999995595
2025-06-16,10.974,11.57,2025-06-16,10.97,0.0039999999999995595
2025-06-17,11.193999999999999,11.79,2025-06-17,11.18,0.013999999999999346
2025-06-18,11.184,11.78,2025-06-18,11.17,0.013999999999999346
2025-06-19,11.164,11.76,2025-06-19,11.15,0.013999999999999346
2025-06-20,11.104,11.7,2025-06-20,11.1,0.0039999999999995595
2025-06-23,11.214,11.81,2025-06-23,11.2,0.014000000000001123
2025-06-24,11.304,11.9,2025-06-24,11.29,0.014000000000001123
2025-06-25,11.334,11.93,2025-06-25,11.31,0.023999999999999133
2025-06-26,11.454,12.05,2025-06-26,11.43,0.02400000000000091
2025-06-27,11.774,12.37,2025-06-27,11.73,0.04399999999999871
2025-06-30,11.544,12.14,2025-06-30,11.51,0.034000000000000696
2025-07-01,11.464,12.06,2025-07-01,11.44,0.02400000000000091
2025-07-02,11.714,12.31,2025-07-02,11.67,0.04400000000000048
2025-07-03,11.734,12.33,2025-07-03,11.69,0.04400000000000048
2025-07-04,11.754,12.35,2025-07-04,11.71,0.04399999999999871
2025-07-07,12.004,12.6,2025-07-07,11.95,0.05400000000000027
2025-07-08,12.154,12.75,2025-07-08,12.09,0.06400000000000006
2025-07-09,12.064,12.66,2025-07-09,12.01,0.05400000000000027
2025-07-10,12.224,12.82,2025-07-10,12.16,0.06400000000000006
2025-07-11,12.594,13.19,2025-07-11,12.51,0.08399999999999963
2025-07-14,12.274,12.87,2025-07-14,12.21,0.06399999999999828
2025-07-15,12.394,12.99,2025-07-15,12.32,0.07399999999999984
2025-07-16,12.134,12.73,2025-07-16,12.07,0.06400000000000006
2025-07-17,12.014,12.61,2025-07-17,11.96,0.053999999999998494
2025-07-18,12.024,12.62,2025-07-18,11.97,0.053999999999998494
2025-07-21,12.044,12.64,2025-07-21,11.99,0.05400000000000027
2025-07-22,12.004,12.6,2025-07-22,11.95,0.05400000000000027
2025-07-23,11.864,12.46,2025-07-23,11.82,0.04400000000000048
2025-07-24,11.934,12.53,2025-07-24,11.88,0.053999999999998494
2025-07-25,11.734,12.33,2025-07-25,11.69,0.04400000000000048
2025-07-28,11.754,12.35,2025-07-28,11.71,0.04399999999999871
2025-07-29,11.864,12.46,2025-07-29,11.82,0.04400000000000048
2025-07-30,11.754,12.35,2025-07-30,11.71,0.04399999999999871
2025-07-31,11.914,12.51,2025-07-31,11.86,0.05400000000000027
2025-08-01,11.644,12.24,2025-08-01,11.61,0.034000000000000696
2025-08-04,11.644,12.24,2025-08-04,11.61,0.034000000000000696
2025-08-05,11.704,12.3,2025-08-05,11.67,0.034000000000000696
2025-08-06,11.874,12.47,2025-08-06,11.83,0.04400000000000048
2025-08-07,11.844,12.44,2025-08-07,11.8,0.04399999999999871
2025-08-08,11.884,12.48,2025-08-08,11.84,0.04400000000000048
2025-08-11,11.804,12.4,2025-08-11,11.76,0.04400000000000048
2025-08-12,11.704,12.3,2025-08-12,11.67,0.034000000000000696
2025-08-13,11.774,12.37,2025-08-13,11.73,0.04399999999999871
2025-08-14,11.674,12.27,2025-08-14,11.64,0.03399999999999892
2025-08-15,11.634,12.23,2025-08-15,11.6,0.034000000000000696
2025-08-18,11.464,12.06,2025-08-18,11.44,0.02400000000000091
2025-08-19,11.504,12.1,2025-08-19,11.48,0.023999999999999133
2025-08-20,11.464,12.06,2025-08-20,11.44,0.02400000000000091
2025-08-21,11.454,12.05,2025-08-21,11.43,0.02400000000000091
2025-08-22,11.554,12.15,2025-08-22,11.52,0.034000000000000696
2025-08-25,11.524,12.12,2025-08-25,11.49,0.03399999999999892
2025-08-26,11.854,12.45,2025-08-26,11.81,0.04399999999999871
2025-08-27,11.724,12.32,2025-08-27,11.68,0.04400000000000048
2025-08-28,11.494,12.09,2025-08-28,11.47,0.023999999999999133
2025-08-29,11.454,12.05,2025-08-29,11.43,0.02400000000000091
2025-09-01,11.454,12.05,2025-09-01,11.43,0.02400000000000091
2025-09-02,11.254,11.85,2025-09-02,11.24,0.013999999999999346
2025-09-03,11.384,11.98,2025-09-03,11.36,0.02400000000000091
2025-09-04,11.164,11.76,2025-09-04,11.15,0.013999999999999346
2025-09-05,11.134,11.73,2025-09-05,11.12,0.014000000000001123
2025-09-08,11.114,11.71,2025-09-08,11.11,0.004000000000001336
2025-09-09,11.114,11.71,2025-09-09,11.11,0.004000000000001336
2025-09-10,11.144,11.74,2025-09-10,11.13,0.013999999999999346
2025-09-11,11.174,11.77,2025-09-11,11.16,0.013999999999999346
2025-09-12,11.234,11.83,2025-09-12,11.22,0.013999999999999346
2025-09-15,11.104,11.7,2025-09-15,11.1,0.0039999999999995595
2025-09-16,11.064,11.66,2025-09-16,11.06,0.0039999999999995595
2025-09-17,11.044,11.64,2025-09-17,11.04,0.004000000000001336
2025-09-18,11.054,11.65,2025-09-18,11.05,0.0039999999999995595
2025-09-19,10.814,11.41,2025-09-19,10.82,-0.006000000000000227
2025-09-22,10.844,11.44,2025-09-22,10.85,-0.006000000000000227
2025-09-23,10.774,11.37,2025-09-23,10.78,-0.006000000000000227
2025-09-24,10.914,11.51,2025-09-24,10.92,-0.006000000000000227
2025-09-25,10.834,11.43,2025-09-25,10.84,-0.006000000000000227
2025-09-26,10.794,11.39,2025-09-26,10.8,-0.006000000000000227
2025-09-29,10.804,11.4,2025-09-29,10.81,-0.006000000000000227
2025-09-30,10.774,11.37,2025-09-30,10.78,-0.006000000000000227
2025-10-09,10.734,11.33,2025-10-09,10.75,-0.016000000000000014
2025-10-10,10.774,11.37,2025-10-10,10.78,-0.006000000000000227
2025-10-13,10.724,11.32,2025-10-13,10.74,-0.016000000000000014
2025-10-14,10.794,11.39,2025-10-14,10.8,-0.006000000000000227
2025-10-15,10.98,11.34,2025-10-15,10.98,0.0
2025-10-16,11.020000000000001,11.38,2025-10-16,11.02,1.7763568394002505e-15
2025-10-17,11.14,11.5,2025-10-17,11.13,0.009999999999999787
2025-10-20,11.05,11.41,2025-10-20,11.05,0.0
2025-10-21,11.040000000000001,11.4,2025-10-21,11.04,1.7763568394002505e-15
2025-10-22,11.040000000000001,11.4,2025-10-22,11.04,1.7763568394002505e-15
2025-10-23,11.16,11.52,2025-10-23,11.15,0.009999999999999787
2025-10-24,11.24,11.6,2025-10-24,11.23,0.009999999999999787
2025-10-27,11.18,11.54,2025-10-27,11.17,0.009999999999999787
2025-10-28,11.17,11.53,2025-10-28,11.16,0.009999999999999787
2025-10-29,11.100000000000001,11.46,2025-10-29,11.09,0.010000000000001563
2025-10-30,11.020000000000001,11.38,2025-10-30,11.02,1.7763568394002505e-15
2025-10-31,11.020000000000001,11.38,2025-10-31,11.02,1.7763568394002505e-15
2025-11-03,10.98,11.34,2025-11-03,10.98,0.0
2025-11-04,11.06,11.42,2025-11-04,11.06,0.0
2025-11-05,11.23,11.59,2025-11-05,11.22,0.009999999999999787
2025-11-06,11.14,11.5,2025-11-06,11.13,0.009999999999999787
2025-11-07,11.16,11.52,2025-11-07,11.15,0.009999999999999787
2025-11-10,11.16,11.52,2025-11-10,11.15,0.009999999999999787
2025-11-11,11.26,11.62,2025-11-11,11.25,0.009999999999999787
2025-11-12,11.34,11.7,2025-11-12,11.33,0.009999999999999787
2025-11-13,11.32,11.68,2025-11-13,11.31,0.009999999999999787
2025-11-14,11.31,11.67,2025-11-14,11.3,0.009999999999999787
2025-11-17,11.39,11.75,2025-11-17,11.38,0.009999999999999787
2025-11-18,11.290000000000001,11.65,2025-11-18,11.28,0.010000000000001563
2025-11-19,11.22,11.58,2025-11-19,11.21,0.009999999999999787
2025-11-20,11.43,11.79,2025-11-20,11.41,0.019999999999999574
2025-11-21,11.440000000000001,11.8,2025-11-21,11.42,0.02000000000000135
2025-11-24,11.34,11.7,2025-11-24,11.33,0.009999999999999787
2025-11-25,11.25,11.61,2025-11-25,11.24,0.009999999999999787
2025-11-26,11.450000000000001,11.81,2025-11-26,11.43,0.02000000000000135
2025-11-27,11.3,11.66,2025-11-27,11.29,0.010000000000001563
2025-11-28,11.31,11.67,2025-11-28,11.3,0.009999999999999787
2025-12-01,11.24,11.6,2025-12-01,11.23,0.009999999999999787
2025-12-02,11.32,11.68,2025-12-02,11.31,0.009999999999999787
2025-12-03,11.280000000000001,11.64,2025-12-03,11.27,0.010000000000001563
2025-12-04,11.190000000000001,11.55,2025-12-04,11.18,0.010000000000001563
2025-12-05,11.13,11.49,2025-12-05,11.12,0.010000000000001563
2025-12-08,11.13,11.49,2025-12-08,11.12,0.010000000000001563
2025-12-09,11.16,11.52,2025-12-09,11.15,0.009999999999999787
2025-12-10,11.08,11.44,2025-12-10,11.08,0.0
2025-12-11,10.99,11.35,2025-12-11,10.99,0.0
2025-12-12,11.01,11.37,2025-12-12,11.01,0.0
2025-12-15,10.98,11.34,2025-12-15,10.98,0.0
2025-12-16,11.13,11.49,2025-12-16,11.12,0.010000000000001563
2025-12-17,11.110000000000001,11.47,2025-12-17,11.1,0.010000000000001563
2025-12-18,11.15,11.51,2025-12-18,11.14,0.009999999999999787
2025-12-19,11.270000000000001,11.63,2025-12-19,11.26,0.010000000000001563
2025-12-22,11.25,11.61,2025-12-22,11.24,0.009999999999999787
2025-12-23,11.16,11.52,2025-12-23,11.15,0.009999999999999787
2025-12-24,11.190000000000001,11.55,2025-12-24,11.18,0.010000000000001563
2025-12-25,11.18,11.54,2025-12-25,11.17,0.009999999999999787
2025-12-26,11.200000000000001,11.56,2025-12-26,11.19,0.010000000000001563
2025-12-29,11.18,11.54,2025-12-29,11.17,0.009999999999999787
2025-12-30,11.17,11.53,2025-12-30,11.16,0.009999999999999787
2025-12-31,11.120000000000001,11.48,2025-12-31,11.11,0.010000000000001563
2026-01-05,11.42,11.42,2026-01-05,11.06,0.35999999999999943
2026-01-06,11.5,11.5,2026-01-06,11.13,0.3699999999999992
2026-01-07,11.66,11.66,2026-01-07,11.29,0.370000000000001
2026-01-08,11.64,11.64,2026-01-08,11.27,0.370000000000001
2026-01-09,11.53,11.53,2026-01-09,11.16,0.3699999999999992
2026-01-12,11.45,11.45,2026-01-12,11.09,0.35999999999999943
2026-01-13,11.48,11.48,2026-01-13,11.11,0.370000000000001
2026-01-14,11.47,11.47,2026-01-14,11.1,0.370000000000001
2026-01-15,11.33,11.33,2026-01-15,10.97,0.35999999999999943
2026-01-16,11.34,11.34,2026-01-16,10.98,0.35999999999999943
2026-01-19,11.15,11.15,2026-01-19,10.79,0.3600000000000012
2026-01-20,11.12,11.12,2026-01-20,10.77,0.34999999999999964
2026-01-21,11.15,11.15,2026-01-21,10.79,0.3600000000000012
2026-01-22,11.07,11.07,2026-01-22,10.72,0.34999999999999964
2026-01-23,11.07,11.07,2026-01-23,10.72,0.34999999999999964
2026-01-26,10.98,10.98,2026-01-26,10.63,0.34999999999999964
2026-01-27,10.96,10.96,2026-01-27,10.61,0.3500000000000014
2026-01-28,10.94,10.94,2026-01-28,10.59,0.34999999999999964
2026-01-29,10.84,10.84,2026-01-29,10.49,0.34999999999999964
2026-01-30,10.94,10.94,2026-01-30,10.59,0.34999999999999964
2026-02-02,10.82,10.82,2026-02-02,10.48,0.33999999999999986
2026-02-03,10.89,10.89,2026-02-03,10.54,0.3500000000000014
2026-02-04,10.85,10.85,2026-02-04,10.5,0.34999999999999964
2026-02-05,10.98,10.98,2026-02-05,10.63,0.34999999999999964
2026-02-06,11.08,11.08,2026-02-06,10.73,0.34999999999999964
2026-02-09,11.05,11.05,2026-02-09,10.7,0.3500000000000014
2026-02-10,11.07,11.07,2026-02-10,10.72,0.34999999999999964
2026-02-11,11.06,11.06,2026-02-11,10.71,0.34999999999999964
2026-02-12,11.07,11.07,2026-02-12,10.72,0.34999999999999964
2026-02-13,10.96,10.96,2026-02-13,10.61,0.3500000000000014
2026-02-24,10.93,10.93,2026-02-24,10.58,0.34999999999999964
2026-02-25,10.91,10.91,2026-02-25,10.56,0.34999999999999964
2026-02-26,10.86,10.86,2026-02-26,10.51,0.34999999999999964
2026-02-27,10.86,10.86,2026-02-27,10.51,0.34999999999999964
2026-03-02,10.85,10.85,2026-03-02,10.5,0.34999999999999964
2026-03-03,10.85,10.85,2026-03-03,10.5,0.34999999999999964
2026-03-04,10.84,10.84,2026-03-04,10.49,0.34999999999999964
2026-03-05,10.72,10.72,2026-03-05,10.38,0.33999999999999986
2026-03-06,10.78,10.78,2026-03-06,10.44,0.33999999999999986
2026-03-09,10.79,10.79,2026-03-09,10.45,0.33999999999999986
2026-03-10,10.77,10.77,2026-03-10,10.43,0.33999999999999986
